Content,Space,Topic,Mapping
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateRealm/Geological",Idaho,Geology,Line Symbol Method
"http://sweetontology.net/propMass/Structure,http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/humanKnowledgeDomain/Geology",Illinois,Geology,Line Symbol Method
"http://sweetontology.net/propMass/Structure,http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateRealm/Geological",Indiana,Geology,Line Symbol Method
"http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/phenSolid/FaultLine",Kentucky,Geology,Line Symbol Method
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Massachusetts,Geology,Line Symbol Method
"http://sweetontology.net/propMass/Structure,http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateRealm/Geological",Maine,Geology,Line Symbol Method
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Michigan,Geology,Line Symbol Method
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateRealm/Geological",Minnesota,Geology,Line Symbol Method
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Missouri,Geology,Line Symbol Method
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Montana,Geology,Line Symbol Method
"http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/realmGeol/Dike,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Montana,Geology,Line Symbol Method
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",North Carolina,Geology,Line Symbol Method
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",New Mexico,Geology,Line Symbol Method
"http://sweetontology.net/realmGeol/Dike,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",New Mexico,Geology,Line Symbol Method
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Nevada,Geology,Line Symbol Method
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Oklahoma,Geology,Line Symbol Method
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Oregon,Geology,Line Symbol Method
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateRealm/Geological",Pennsylvania,Geology,Line Symbol Method
http://sweetontology.net/humanKnowledgeDomain/Geology,Rhode Island,Geology,"Quality Base Method,Line Symbol Method"
"http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/humanKnowledgeDomain/Lithology",Rhode Island,Geology,Quality Base Method
http://sweetontology.net/humanKnowledgeDomain/Geology,Rhode Island,Geology,Line Symbol Method
"http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/humanKnowledgeDomain/Lithology,http://sweetontology.net/propTime/Age",Rhode Island,Geology,Quality Base Method
http://sweetontology.net/phenSolid/FaultLine,Rhode Island,Geology,Line Symbol Method
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",South Carolina,Geology,Line Symbol Method
"http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological",South Dakota,Geology,Line Symbol Method
"http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological",Tennessee,Geology,Line Symbol Method
"http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/phenSolid/FaultLine",Utah,Geology,Line Symbol Method
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Virginia,Geology,Line Symbol Method
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Washington,Geology,Line Symbol Method
"http://sweetontology.net/propMass/Structure,http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/humanKnowledgeDomain/Geology",Wisconsin,Geology,Line Symbol Method
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Wyoming,Geology,Line Symbol Method
"http://sweetontology.net/realmGeol/Dike,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Wyoming,Geology,Line Symbol Method
"http://sweetontology.net/stateRoleGeographic/Boundary,http://sweetontology.net/humanJurisdiction/Country",Global,Geology,Line Symbol Method
http://sweetontology.net/humanJurisdiction/City,Global,Geology,Point Symbol Method
"http://sweetontology.net/stateRoleGeographic/Remote,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/matrEquipment/Satellite,http://sweetontology.net/stateSpaceScale/GlobalScale,http://sweetontology.net/phenGeolFault/Sense",Global,Geology,Raw Image
"http://sweetontology.net/stateSpaceScale/GlobalScale,http://sweetontology.net/matrElementalMolecule/Ozone,http://sweetontology.net/realm/Atmosphere,http://sweetontology.net/matrIsotope/Radiation,http://sweetontology.net/procPhysical/Radiation,http://sweetontology.net/stateSpectralBand/Ultraviolet",Global,"Ecosystem,Weather",Point Symbol Method
"http://sweetontology.net/matrElementalMolecule/Ozone,http://sweetontology.net/phenEnvirImpact/Pollution,http://sweetontology.net/realm/Atmosphere",Global,"Ecosystem,Weather",Point Symbol Method
"http://sweetontology.net/stateSpectralBand/Ultraviolet,http://sweetontology.net/matrElementalMolecule/Ozone,http://sweetontology.net/realm/Atmosphere,http://sweetontology.net/phenEnvirImpact/Pollution",Global,"Ecosystem,Weather",Point Symbol Method
"http://sweetontology.net/matrElementalMolecule/Ozone,http://sweetontology.net/propTemperature/Temperature,http://sweetontology.net/stateRealm/Atmospheric",Global,"Ecosystem,Weather",Point Symbol Method
"http://sweetontology.net/realm/Atmosphere,http://sweetontology.net/matrElementalMolecule/Ozone,http://sweetontology.net/matrElement/Iodine",Global,"Ecosystem,Weather",Point Symbol Method
"http://sweetontology.net/matrIsotope/Radiation,http://sweetontology.net/stateRealm/Atmospheric",Global,"Ecosystem,Weather",Point Symbol Method
"http://sweetontology.net/matrIsotope/Radiation,http://sweetontology.net/stateSpectralBand/Ultraviolet,http://sweetontology.net/stateRealm/Atmospheric",Global,"Ecosystem,Weather",Point Symbol Method
"http://sweetontology.net/stateSpectralBand/Ultraviolet,http://sweetontology.net/matrIsotope/Radiation,http://sweetontology.net/matrElementalMolecule/Ozone,http://sweetontology.net/stateRealm/Atmospheric",Global,"Ecosystem,Weather",Point Symbol Method
"http://sweetontology.net/matrElementalMolecule/Ozone,http://sweetontology.net/stateSpectralBand/Ultraviolet",Global,"Ecosystem,Weather",Point Symbol Method
