Scene,Sindex,Num,Noise_Rate,Jaccard,Precisiom,Recall,best_argminC,best_avgConf
S2,3,60,0.6,0.8275862068965517,0.07183684744827938,0.14367369489655876,0.3317389359186827,0.6371791541240468
S2,3,60,0.8,0.3,0.06190412099824664,0.18571236299473992,0.2996967735445954,0.3091236453238047
S2,3,80,0.0,0.975,1.0,1.0,0.9884629727876222,0.01150818464434687
S2,3,80,0.2,0.8732394366197183,0.5,1.0,0.36471000226504025,0.6289057482506626
S2,3,80,0.4,0.8421052631578947,0.3719738278830145,0.743947655766029,0.5188968808422909,0.14923561969739388
S2,3,80,0.6,0.48484848484848486,0.10736339226142354,0.21472678452284708,0.49940233269942014,0.08814494287424701
S2,3,80,0.8,0.35555555555555557,0.1347956168956519,0.2695912337913038,0.5872355440160619,0.06089184015822574
S2,3,100,0.0,0.98,1.0,1.0,0.9891815051665547,0.010796857843778434
S2,3,100,0.2,0.8333333333333334,0.24798255192200966,0.743947655766029,0.7396193151003645,0.12949467390708463
S2,3,100,0.4,0.8333333333333334,0.24048683210281196,0.48097366420562393,0.1407900557083533,0.47497463462116885
S2,3,100,0.6,0.449438202247191,0.10736339226142354,0.21472678452284708,0.5313344688887943,0.10737075639003069
S2,3,100,0.8,0.2564102564102564,0.09285618149736996,0.18571236299473992,0.25312011672183343,0.1501266276899559
S2,4,10,0.0,0.9,0.3333333333333333,1.0,0.7634938931633382,0.18485044566783734
S2,4,10,0.2,1.0,0.5,1.0,0.7700272779304174,0.156480511753336
S2,4,10,0.4,0.5,0.3333333333333333,1.0,0.6547898744951135,0.1530582861719946
S2,4,10,0.6,0.5,0.5,1.0,0.5935735493002705,0.3742510233526676
S2,4,10,0.8,0.2222222222222222,0.32156705927888823,0.9647011778366646,0.6636086568551218,0.09549071373406887
S2,4,20,0.0,0.95,0.3333333333333333,1.0,0.7447765965254566,0.20457634371931652
S2,4,20,0.2,1.0,0.5,1.0,0.7916416091851468,0.1379170256772388
S2,4,20,0.4,0.8571428571428571,0.5,1.0,0.709673308672603,0.2691570367514409
S2,4,20,0.6,0.29411764705882354,0.4823505889183323,0.9647011778366646,0.7635935477432958,0.14184496385939457
S2,4,20,0.8,0.17647058823529413,0.4823505889183323,0.9647011778366646,0.4646288242601848,0.5071154747979916
S2,4,40,0.0,0.65,0.5,1.0,0.7563943605395138,0.11854273737505508
S2,4,40,0.2,1.0,0.5,1.0,0.7498978999695207,0.23654706766667197
S2,4,40,0.4,0.8,0.5,1.0,0.7155094278054885,0.2683694397701558
S2,4,40,0.6,0.4,0.32156705927888823,0.9647011778366646,0.7995442092495255,0.19627962844317293
S2,4,40,0.8,0.15625,0.32156705927888823,0.9647011778366646,0.7855866356318248,0.11820013408953352
S2,4,60,0.0,1.0,0.5,1.0,0.7185492227725276,0.2701424870710114
S2,4,60,0.2,0.7708333333333334,0.5,1.0,0.7092201809591686,0.19024967434003992
S2,4,60,0.4,0.8571428571428571,0.5,1.0,0.790238118353723,0.19075534751385415
S2,4,60,0.6,0.4528301886792453,0.4823505889183323,0.9647011778366646,0.7853712766776701,0.20667951134742873
S2,4,60,0.8,0.23076923076923078,0.32156705927888823,0.9647011778366646,0.7475542932293047,0.1909129725226514
S2,4,80,0.0,0.7375,0.3333333333333333,1.0,0.786632324983453,0.12227192303069877
S2,4,80,0.2,0.640625,0.5,1.0,0.7371737448248474,0.15296729243291582
S2,4,80,0.4,1.0,1.0,1.0,0.8112329140659406,0.16989037734065351
S2,4,80,0.6,0.4,0.4823505889183323,0.9647011778366646,0.7869069331937217,0.2083576653216943
S2,4,80,0.8,0.2807017543859649,0.4823505889183323,0.9647011778366646,0.6220688683258951,0.33316659066219445
S2,4,100,0.0,0.75,0.5,1.0,0.7546983198172067,0.2272659428912235
S2,4,100,0.2,0.75,0.5,1.0,0.7570469419632901,0.22160439566165147
S2,4,100,0.4,1.0,0.5,1.0,0.7740866201084531,0.20416921707698554
S2,4,100,0.6,0.43010752688172044,0.32156705927888823,0.9647011778366646,0.7656965522340542,0.18334027043868342
S2,4,100,0.8,0.25,0.43305318733006504,0.8661063746601301,0.37553407471818556,0.3122329626409072
S2,5,10,0.0,0.9,0.3805380755937097,0.7610761511874194,0.14575571676020244,0.8542442832397976
S2,5,10,0.2,0.75,0.3805380755937097,0.7610761511874194,0.15699459129190393,0.4389057919646758
S2,5,10,0.4,0.3,0.3805380755937097,0.7610761511874194,0.5114972642483809,0.27355875883826875
S2,5,10,0.6,0.4,0.3805380755937097,0.7610761511874194,0.11323757923366506,0.12571836207468318
S2,5,10,0.8,0.16666666666666666,0.7610761511874194,0.7610761511874194,0.06572124542312119,0.7704861461095223
S2,5,20,0.0,0.9,0.2536920503958065,0.7610761511874194,0.5076606462785225,0.4741045628429043
