Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,Graph_time,Cluster_time
S2,2,20,0.6,0.5714285714285714,0.023388194857824396,0.9766118051421756,-0.7726714621726034,0.06227780845649486,0.08577084541320801,0.31316232681274414
S2,2,40,0.6,0.45714285714285713,0.023388194857824396,0.9766118051421756,-0.7141496847022375,0.04421776469449231,0.25332212448120117,1.1120281219482422
S2,2,60,0.6,0.4444444444444444,0.5116940974289121,0.9766118051421756,0.6384746634625716,0.08321383149407467,0.32413363456726074,1.4291789531707764
S2,2,80,0.6,0.463768115942029,0.5116940974289121,0.9766118051421756,0.6395049078071345,0.05843842740910838,0.36302804946899414,2.558162212371826
S2,2,100,0.6,0.5405405405405406,0.023388194857824396,0.9766118051421756,-0.7217779420188334,0.06315603185461693,0.44580650329589844,0.8078422546386719
S2,2,10,0.8,0.2,0.5116940974289121,0.9766118051421756,0.39470761458087644,0.41432538021166765,0.09175562858581543,1.7912099361419678
S2,2,20,0.8,0.2222222222222222,0.6744627316192748,0.9766118051421756,0.5886360666413247,0.12525552634345408,0.09574174880981445,1.0003275871276855
S2,2,40,0.8,0.2,0.6744627316192748,0.9766118051421756,0.6153906296089293,0.09781077686012392,0.26927781105041504,2.0215978622436523
S2,2,60,0.8,0.22641509433962265,0.5116940974289121,0.9766118051421756,0.6709988790553005,0.024849280223906103,0.7779183387756348,4.132952451705933
S2,2,80,0.8,0.2,0.09032160834851599,0.909678391651484,-0.7085031662721514,0.0,0.21642112731933594,0.3779897689819336
S2,2,100,0.8,0.24096385542168675,0.5116940974289121,0.9766118051421756,0.5977575714203169,0.08852122037978892,0.4497959613800049,1.7393512725830078
S2,3,10,0.0,1.0,0.0,1.0,-0.9946862319780804,0.9822874399269346,0.004986286163330078,0.032912492752075195
S2,3,20,0.0,1.0,0.0,1.0,-0.989372463956161,0.9645748798538699,0.006981372833251953,0.015956640243530273
S2,3,40,0.0,1.0,0.0,1.0,-0.9880440219506812,0.960146739835604,0.009973526000976562,0.01894974708557129
S2,3,60,0.0,0.9833333333333333,0.0,1.0,-0.9893661808257992,0.9629463461925207,0.012965202331542969,0.019947290420532227
S2,3,80,0.0,0.9875,0.0,1.0,-0.9970193043326014,0.9888267673406189,0.02892303466796875,0.04288530349731445
S2,3,100,0.0,0.98,0.0,1.0,-0.9959712093068799,0.9845975562942204,0.03490614891052246,0.04587721824645996
S2,3,10,0.2,1.0,0.5496849200504431,0.4503150799495569,-0.9364630260786093,0.22511924461111524,0.029918193817138672,0.4388291835784912
S2,3,20,0.2,1.0,0.5130111351249478,0.48698886487505216,-0.9528114322562732,0.2562179341638342,0.01994776725769043,0.1107029914855957
S2,3,40,0.2,0.9375,0.0,1.0,-0.976793249032391,0.8871714852026802,0.07779049873352051,0.5355691909790039
S2,3,60,0.2,0.92,0.5,1.0,0.5953409977135025,0.14637927895068198,0.18151092529296875,1.5239298343658447
S2,3,80,0.2,0.9264705882352942,0.6280261721169855,0.743947655766029,0.6027429920626659,0.049548112365650696,0.2991976737976074,2.3018486499786377
S2,3,100,0.2,0.9397590361445783,0.6280261721169855,0.743947655766029,0.5616229576283833,0.06824351423387777,0.2982008457183838,1.8081674575805664
S2,3,10,0.4,1.0,0.08848545562995769,0.9115145443700423,-0.8975219419419121,0.3248371560188835,0.014960765838623047,0.14361572265625
S2,3,20,0.4,0.7333333333333333,0.6516065300156342,0.6967869399687315,0.0011597719187221394,0.6538931959448084,0.03391098976135254,0.4946756362915039
S2,3,40,0.4,0.8846153846153846,0.8044792293849818,0.39104154123003626,0.47821186545907585,0.07737474121325466,0.07779240608215332,0.6333065032958984
S2,3,60,0.4,0.6428571428571429,0.7520174480779903,0.743947655766029,0.6008172782234247,0.06839541814166085,0.13463640213012695,0.7350389957427979
S2,3,80,0.4,0.6911764705882353,0.6666666666666667,1.0,0.6378937136458277,0.08791100402840601,0.17852282524108887,1.0382249355316162
S2,3,100,0.4,0.9523809523809523,0.7304087662086962,0.2695912337913038,-0.9503428643837176,0.17431952815193716,0.28523755073547363,0.9235310554504395
