Scene,Sindex,Num,Noise_Rate,gamma,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,3,20,0.2,0.7,1.0,0.5130111351249478,0.48698886487505216,-0.9528114322562732,0.2562179341638342
S2,3,20,0.2,0.7,1.0,0.302154125271882,0.697845874728118,-0.9565541764844948,0.2878073538369074
S2,3,20,0.2,0.7,1.0,0.13402808717987302,0.865971912820127,-0.9599821208168672,0.3358123722591895
S2,3,20,0.2,0.7,1.0,0.06942388123263821,0.9305761187673618,-0.9654415269581134,0.3702957770280964
S2,3,20,0.2,0.7,1.0,0.013022942165579532,0.9869770578344205,-0.9637670087070322,0.40519744161475246
S2,3,20,0.4,0.7,0.7333333333333333,0.9865113022170178,0.026977395565964516,4.399569439449111e-23,0.6547904191616767
S2,3,20,0.4,0.7,0.7333333333333333,0.6516065300156342,0.6967869399687315,0.0011597719187221394,0.6538931959448084
S2,3,20,0.4,0.7,0.7333333333333333,0.5826311763054374,0.8347376473891253,0.019089613815329753,0.6399980795586467
S2,3,20,0.4,0.7,0.7333333333333333,0.5348532351489177,0.9302935297021645,0.09664542248242579,0.5793142956993829
S2,3,20,0.4,0.7,0.7333333333333333,0.5352898758999222,0.9294202482001557,0.15888819414763594,0.531391478709391
S2,3,20,0.4,0.7,0.7333333333333333,0.5036463529254313,0.9927072941491375,0.23949876727751596,0.4691257141902865
S2,3,20,0.6,0.7,0.6666666666666666,0.9999979720480399,2.027951960088476e-06,-0.8851969624588347,0.04641238511446577
S2,3,20,0.6,0.7,0.6666666666666666,0.5633040527535185,0.873391894492963,0.593994055145359,0.051228727122855075
S2,3,20,0.6,0.7,0.7272727272727273,0.5687379984956857,0.8625240030086286,0.5800329681829832,0.04714220039430215
S2,3,20,0.6,0.7,0.6666666666666666,0.2306195383208104,0.7693804616791896,-0.8387937862672039,0.10209206937459034
S2,3,20,0.6,0.7,0.6666666666666666,0.1228566470187501,0.8771433529812499,-0.8396204411120323,0.13501453898117913
S2,3,20,0.6,0.7,0.6666666666666666,0.013022942165579532,0.9869770578344205,-0.8444618312879907,0.18621384551776013
S2,3,20,0.8,0.7,0.3076923076923077,0.9999999981261164,3.74776721548772e-09,0.30211318576170304,0.5328841262120049
S2,3,20,0.8,0.7,0.3076923076923077,0.9281631525517207,0.14367369489655876,0.2940882532299681,0.5436318037098642
S2,3,20,0.8,0.7,0.3076923076923077,0.8104784346726217,0.3790431306547565,0.29634555495134335,0.5406086317615937
S2,3,20,0.8,0.7,0.3076923076923077,0.6608081126054991,0.6783837747890018,0.3100193291113004,0.522295541368794
S2,3,20,0.8,0.7,0.3076923076923077,0.5881797191768593,0.8236405616462814,0.3207368144733066,0.5079417663303929
S2,3,20,0.8,0.7,0.3076923076923077,0.5096075480724429,0.9807849038551143,0.33524001247043705,0.4885178404413789
S2,4,20,0.0,0.7,1.0,0.0,1.0,-0.7568817556774404,0.18960585225813487
S2,4,20,0.0,0.7,1.0,0.0,1.0,-0.7535122318582697,0.1783741061942323
S2,4,20,0.0,0.7,1.0,0.0,1.0,-0.7575899896782425,0.19196663226080857
S2,4,20,0.0,0.7,1.0,0.0,1.0,-0.7465628939276356,0.15520964642545226
S2,4,20,0.0,0.7,1.0,0.5,1.0,0.6832471659816174,0.01727214674842336
S2,4,20,0.0,0.7,1.0,0.5,1.0,0.6516203750881822,0.05170406021187467
S2,4,20,0.2,0.7,1.0,0.0,1.0,-0.8251526485013188,0.39631672025417614
S2,4,20,0.2,0.7,1.0,0.0,1.0,-0.8175981329421212,0.3723940876500507
S2,4,20,0.2,0.7,1.0,0.0,1.0,-0.8074808120878827,0.34035590494496193
S2,4,20,0.2,0.7,1.0,0.0,1.0,-0.7752837015935248,0.23839838837949523
S2,4,20,0.2,0.7,0.8125,0.5,1.0,0.6788982442735656,0.020982779730151974
S2,4,20,0.2,0.7,0.8125,0.5,1.0,0.6514682356893104,0.050189063608563955
S2,4,20,0.4,0.7,1.0,0.0,1.0,-0.8223099328357797,0.36692979850733914
S2,4,20,0.4,0.7,1.0,0.0,1.0,-0.8321437505925,0.3964312517775001
S2,4,20,0.4,0.7,1.0,0.0,1.0,-0.8207824492043873,0.36234734761316184
S2,4,20,0.4,0.7,1.0,0.0,1.0,-0.8221469522832443,0.36644085684973304
S2,4,20,0.4,0.7,1.0,0.0,1.0,-0.8061458709069269,0.3184376127207808
S2,4,20,0.4,0.7,1.0,0.0,1.0,-0.7918380218891128,0.27551406566733844
S2,4,20,0.6,0.7,0.5714285714285714,0.5,1.0,0.6310820806197622,0.09317983997838264
S2,4,20,0.6,0.7,0.5714285714285714,0.5,1.0,0.6561899405869251,0.059232988492167474
S2,4,20,0.6,0.7,0.5714285714285714,0.5,1.0,0.6834830082146397,0.022331647056737083
S2,4,20,0.6,0.7,0.6666666666666666,0.5,1.0,0.6626336081775352,0.04825818280101864
S2,4,20,0.6,0.7,0.6666666666666666,0.5,1.0,0.6635185433677,0.04711530113406705
S2,4,20,0.6,0.7,0.6666666666666666,0.5,1.0,0.665079088154914,0.045099878934129756
S2,4,20,0.8,0.7,0.2857142857142857,0.6509416013025486,0.6981167973949028,0.522331727609148,0.23522458862713802
S2,4,20,0.8,0.7,0.2857142857142857,0.5176494110816676,0.9647011778366646,0.5354498036017656,0.2178568617537951
S2,4,20,0.8,0.7,0.2857142857142857,0.5089039865167239,0.9821920269665523,0.5519171967594434,0.19605479361213657
S2,4,20,0.8,0.7,0.25,0.5035808048745862,0.9928383902508277,0.5842979806153309,0.157540696037161
S2,4,20,0.8,0.7,0.25,0.5017936195082334,0.9964127609835332,0.6040507446819645,0.13064519139286077
S2,4,20,0.8,0.7,0.25,0.5001796521467265,0.999640695706547,0.6253184555417407,0.10168692437396906
S2,5,20,0.0,0.7,1.0,0.9673974824846788,0.06520503503064225,0.5454435028715853,0.11039749794886763
S2,5,20,0.0,0.7,0.75,0.6194619244062902,0.7610761511874194,0.5099751877298039,0.14073547923450772
S2,5,20,0.0,0.7,0.75,0.5638016072968003,0.8723967854063994,0.4767663191271474,0.18040063505948312
S2,5,20,0.0,0.7,1.0,0.0,1.0,-0.7730529957983475,0.22747939955265895
S2,5,20,0.0,0.7,1.0,0.0,1.0,-0.8109374961560192,0.3552855626180846
S2,5,20,0.0,0.7,1.0,0.0,1.0,-0.8504684738256791,0.4992231225892598
S2,5,20,0.2,0.7,0.6470588235294118,0.9046962249667367,0.19060755006652644,0.30184166172769233,0.24146826739546262
S2,5,20,0.2,0.7,0.8,0.6194619244062902,0.7610761511874194,0.3568778873419397,0.06354881350205027
S2,5,20,0.2,0.7,0.8,0.5638016072968003,0.8723967854063994,0.41046214838262063,0.05260048218724803
