Path,Edge,Graph,Cluster,Total,Jac,Precision,Recall,CC,avgConf,OriNum
"Samples\AvailableSamples\S5\2_6\P[0.4, 0.6]_Q[0, 1].json",0.015956879,0.055847406,0.770651817,0.842456102,1,0.428432442,0.428432442,0.465812129,0.461136331,488
"Samples\AvailableSamples\S5\2_6\P[0.6, 0.8]_Q[0, 1].json",0.010970116,0.02692461,0.727058649,0.764953375,1,0.496899041,0.496899041,0.3475622,0.600508155,182
"Samples\AvailableSamples\S5\2_6\P[0.8, 1.0]_Q[0, 1].json",0.00498724,0.001993656,0.077792168,0.084773064,1,0.406298542,0.406298542,0.263340263,0.95,112
"Samples\AvailableSamples\S5\2_7\P[0, 0.2]_Q[0, 1].json",0.01894927,0.019944668,0.265247107,0.304141045,1,0.20652519,0.20652519,0.446927407,0.33240056,3289
"Samples\AvailableSamples\S5\2_7\P[0.2, 0.4]_Q[0, 1].json",0.009973526,0.00398922,0.08676815,0.100730896,0.95,0.395476741,0.395476741,0.417736602,0.303768592,1988
"Samples\AvailableSamples\S5\2_7\P[0.4, 0.6]_Q[0, 1].json",0.008975744,0.003989935,0.170543432,0.183509111,1,0.593016369,0.593016369,0.589026261,0.501111557,328
"Samples\AvailableSamples\S5\2_7\P[0.6, 0.8]_Q[0, 1].json",0.008975506,0.010968447,0.250332832,0.270276785,1,0.655789182,0.655789182,0.293507265,0.612147914,159
"Samples\AvailableSamples\S5\2_7\P[0.8, 1.0]_Q[0, 1].json",0.003989697,0.002991438,0.11469388,0.121675014,1,0.610690973,0.610690973,0,0.899774664,118
"Samples\AvailableSamples\S5\4_5\P[0, 0.2]_Q[0, 1].json",0.037898064,0.156574011,1.685848236,1.880320311,1,0.209771438,0.209771438,0.367248983,0.297168658,2908
"Samples\AvailableSamples\S5\4_5\P[0.2, 0.4]_Q[0, 1].json",0.015956879,0.025928974,0.450376987,0.49226284,0.95,0.226179769,0.339269654,0.764106315,0.461421625,3115
"Samples\AvailableSamples\S5\4_5\P[0.4, 0.6]_Q[0, 1].json",0.006981611,0.002991915,0.081781864,0.09175539,1,0.396729855,0.396729855,0.70382732,0.414652524,743
"Samples\AvailableSamples\S5\4_5\P[0.6, 0.8]_Q[0, 1].json",0.006981134,0.000997543,0.041887999,0.049866676,1,0.751306301,0.751306301,0.358982675,0.670616277,180
"Samples\AvailableSamples\S5\4_5\P[0.8, 1.0]_Q[0, 1].json",0.004986763,0.000997305,0.040890455,0.046874523,1,1,1,0.306118068,0.838541667,76
"Samples\AvailableSamples\S5\4_6\P[0, 0.2]_Q[0, 1].json",0.032910824,0.068864107,0.59994173,0.701716661,1,0.082530008,0.123795012,0.659648242,0.345452154,3818
"Samples\AvailableSamples\S5\4_6\P[0.2, 0.4]_Q[0, 1].json",0.009973526,0.002991676,0.046875,0.059840202,1,0.140461807,0.210692711,0.595204457,0.327551034,2723
"Samples\AvailableSamples\S5\4_6\P[0.4, 0.6]_Q[0, 1].json",0.008975506,0.002991915,0.133642912,0.145610332,1,0.199593301,0.299389951,0.779057799,0.614193026,645
"Samples\AvailableSamples\S5\4_6\P[0.6, 0.8]_Q[0, 1].json",0.005984306,0.002990723,0.078790426,0.087765455,1,0.303223683,0.303223683,0.452772136,0.570557747,224
"Samples\AvailableSamples\S5\4_6\P[0.8, 1.0]_Q[0, 1].json",0.00299263,0.001993895,0.077792645,0.082779169,1,0.707193196,0.707193196,0.21126615,0.916666667,31
"Samples\AvailableSamples\S5\4_7\P[0, 0.2]_Q[0, 1].json",0.031914473,0.076791286,0.786529303,0.895235062,1,0.257333827,0.257333827,0.469792699,0.286283019,4002
"Samples\AvailableSamples\S5\4_7\P[0.2, 0.4]_Q[0, 1].json",0.007979155,0.000997066,0.040890455,0.049866676,0.85,0.300545463,0.300545463,0.362511236,0.458861505,2792
"Samples\AvailableSamples\S5\4_7\P[0.4, 0.6]_Q[0, 1].json",0.008975983,0.001995325,0.080783129,0.091754436,1,0.523197877,0.523197877,0.455541864,0.481511704,485
"Samples\AvailableSamples\S5\4_7\P[0.6, 0.8]_Q[0, 1].json",0.002992153,0.000997543,0.041887999,0.045877695,1,0.517788581,0.517788581,0.368776525,0.645205188,201
"Samples\AvailableSamples\S5\4_7\P[0.8, 1.0]_Q[0, 1].json",0.00199461,0.000997305,0.034906626,0.03789854,1,0.911585627,0.911585627,0,0.936419021,37
"Samples\AvailableSamples\S5\5_6\P[0, 0.2]_Q[0, 1].json",0.035903931,0.091752052,0.927096128,1.054752111,1,0.168347767,0.168347767,0.668480146,0.290226177,2202
"Samples\AvailableSamples\S5\5_6\P[0.2, 0.4]_Q[0, 1].json",0.008975506,0.00099802,0.043882847,0.053856373,1,0.249751897,0.374627846,0.57286653,0.465165206,2772
"Samples\AvailableSamples\S5\5_6\P[0.4, 0.6]_Q[0, 1].json",0.007978678,0.00398922,0.086462021,0.098429918,0.95,0.29703973,0.445559595,0.7677566,0.680560084,826
"Samples\AvailableSamples\S5\5_6\P[0.6, 0.8]_Q[0, 1].json",0.010967493,0.004986525,0.122672081,0.138626099,1,0.733765401,0.733765401,0.286554941,0.69025443,142
"Samples\AvailableSamples\S5\5_6\P[0.8, 1.0]_Q[0, 1].json",0.003988981,0.000997543,0.039893627,0.044880152,1,0.707193196,0.707193196,0.164653368,0.908464277,91
"Samples\AvailableSamples\S5\5_7\P[0, 0.2]_Q[0, 1].json",0.028922558,0.076792479,0.20644927,0.312164307,0.95,0.06294927,0.031474635,-0.823155948,0.266064904,2386
"Samples\AvailableSamples\S5\5_7\P[0.2, 0.4]_Q[0, 1].json",0.008975744,0.002991199,0.082779408,0.094746351,1,0.500937944,0.500937944,0.565223036,0.41072135,2841
"Samples\AvailableSamples\S5\5_7\P[0.4, 0.6]_Q[0, 1].json",0.006981134,0.000997305,0.043882132,0.051860571,1,0.747642316,0.747642316,0.181172317,0.516973405,666
"Samples\AvailableSamples\S5\5_7\P[0.6, 0.8]_Q[0, 1].json",0.005983829,0.00199461,0.037899256,0.045877695,1,0.838805457,0.838805457,0.164948847,0.697655554,119
"Samples\AvailableSamples\S5\5_7\P[0.8, 1.0]_Q[0, 1].json",0.004986048,0.000998497,0.03889513,0.044879675,1,0.911585627,0.911585627,0.220458554,0.916666667,97
"Samples\AvailableSamples\S5\6_7\P[0, 0.2]_Q[0, 1].json",0.021940947,0.029920578,0.262349606,0.31421113,1,0.181734586,0.181734586,0.143844186,0.259479473,3296
"Samples\AvailableSamples\S5\6_7\P[0.2, 0.4]_Q[0, 1].json",0.009974241,0.00398922,0.082778454,0.096741915,1,0.322192865,0.322192865,0.297409612,0.392905841,2449
