Scene,Index,P,Q,Jaccard,Precision,Recall,20,30,,,,,,,,,,
S4,3_5,"[0.4, 0.6]","[0, 1]",0.666666667,0.237852821,0.11892641,,,,,,,,,,,,
S4,3_5,"[0.6, 0.8]","[0, 1]",1,0.707193196,0.707193196,,,,,,,,,,,,
S4,3_5,"[0.8, 1.0]","[0, 1]",0.9,0.268357074,0.134178537,,,,,,,,,,,,
S4,4_5,"[0, 0.2]","[0, 1]",1,0.396452879,0.396452879,,,,,,,,,,,,
S4,4_5,"[0.2, 0.4]","[0, 1]",0.933333333,0.467530802,0.233765401,,,,,,,,,,,,
S4,4_5,"[0.4, 0.6]","[0, 1]",0.733333333,0.53284399,0.266421995,,,,,,,,,,,,
S4,4_5,"[0.6, 0.8]","[0, 1]",1,0.733765401,0.733765401,,,,,,,,,,,,
S4,4_5,"[0.8, 1.0]","[0, 1]",0.966666667,0.600589917,0.600589917,,,,,,,,,,,,
S5,1_2,"[0, 0.2]","[0, 1]",0.933333333,0.354281022,0.177140511,,,,,,,,,,,,
S5,1_2,"[0.2, 0.4]","[0, 1]",0.933333333,0.380680816,0.190340408,,,,,,,,,,,,
S5,1_2,"[0.4, 0.6]","[0, 1]",0.933333333,0.367437359,0.183718679,,,,,,,,,,,,
S5,1_2,"[0.6, 0.8]","[0, 1]",0.666666667,0.57171218,0.28585609,,,,,,,,,,,,
S5,1_2,"[0.8, 1.0]","[0, 1]",1,0.680390726,0.680390726,,,,,,,,,,,,
S5,1_3,"[0, 0.2]","[0, 1]",0.933333333,0.422143656,0.211071828,,,,,,,,,,,,
S5,1_3,"[0.2, 0.4]","[0, 1]",0.8,0.340485499,0.340485499,,,,,,,,,,,,
S5,1_3,"[0.4, 0.6]","[0, 1]",1,0.35716019,0.35716019,,,,,,,,,,,,
S5,1_3,"[0.6, 0.8]","[0, 1]",0.5,0.47979812,0.23989906,,,,,,,,,,,,
S5,1_3,"[0.8, 1.0]","[0, 1]",1,0.479254762,0.479254762,,,,,,,,,,,,
S5,1_4,"[0, 0.2]","[0, 1]",1,0.422143656,0.211071828,,,,,,,,,,,,
S5,1_4,"[0.2, 0.4]","[0, 1]",0.9,0.444532722,0.222266361,,,,,,,,,,,,
S5,1_4,"[0.4, 0.6]","[0, 1]",0.866666667,0.562126557,0.281063279,,,,,,,,,,,,
S5,1_4,"[0.6, 0.8]","[0, 1]",0.766666667,0.606048063,0.303024031,,,,,,,,,,,,
S5,1_4,"[0.8, 1.0]","[0, 1]",1,0.483874919,0.483874919,,,,,,,,,,,,
S5,1_5,"[0, 0.2]","[0, 1]",0.966666667,0.488328702,0.244164351,,,,,,,,,,,,
S5,1_5,"[0.2, 0.4]","[0, 1]",0.966666667,0.406897729,0.203448865,,,,,,,,,,,,
S5,1_5,"[0.4, 0.6]","[0, 1]",1,0.520131308,0.260065654,,,,,,,,,,,,
S5,1_5,"[0.6, 0.8]","[0, 1]",1,1,0.5,,,,,,,,,,,,
S5,1_5,"[0.8, 1.0]","[0, 1]",1,1,0.5,,,,,,,,,,,,
S5,1_6,"[0, 0.2]","[0, 1]",0.966666667,0.38097038,0.19048519,,,,,,,,,,,,
S5,1_6,"[0.2, 0.4]","[0, 1]",0.866666667,0.410724815,0.205362408,,,,,,,,,,,,
S5,1_6,"[0.4, 0.6]","[0, 1]",0.966666667,0.528776217,0.264388109,,,,,,,,,,,,
S5,1_6,"[0.6, 0.8]","[0, 1]",0.6,0.536446349,0.268223174,,,,,,,,,,,,
S5,1_6,"[0.8, 1.0]","[0, 1]",1,0.594054387,0.594054387,,,,,,,,,,,,
S5,1_7,"[0, 0.2]","[0, 1]",1,0.339692435,0.169846218,,,,,,,,,,,,
S5,1_7,"[0.2, 0.4]","[0, 1]",0.5,0.456076486,0.228038243,,,,,,,,,,,,
S5,1_7,"[0.4, 0.6]","[0, 1]",1,0.603652948,0.301826474,,,,,,,,,,,,
