Path,Edge,Graph,Cluster,Total,Jac,Precision,Recall,CC,avgConf,OriNum
"Samples\AvailableSamples\S5\6_7\P[0.8, 1.0]_Q[0, 1].json",0.001994848,0,0.035903931,0.037898779,1,0.618778823,0.618778823,0,0.883333333,52
noiseRate,0,SamNum,10,min_support,0.3,gamma,0.4,avgRecall,0.770946029,
"Samples\AvailableSamples\S5\1_2\P[0.8, 1.0]_Q[0, 1].json",0.005983591,0.002991199,0.232379198,0.241353989,1,0.794059265,0.794059265,0,0.830425161,101
"Samples\AvailableSamples\S5\1_4\P[0.8, 1.0]_Q[0, 1].json",0.002992153,0.000997543,0.037898302,0.041887999,1,1,1,0.214285714,0.966666667,20
"Samples\AvailableSamples\S5\1_5\P[0.8, 1.0]_Q[0, 1].json",0.000997066,0.000997305,0.006981373,0.008975744,1,1,0.5,-0.95,0.95,80
"Samples\AvailableSamples\S5\1_6\P[0.8, 1.0]_Q[0, 1].json",0.00199461,0,0.036901474,0.038896084,1,0.707193196,0.707193196,0,0.95,35
"Samples\AvailableSamples\S5\1_7\P[0.8, 1.0]_Q[0, 1].json",0.001994371,0.000997782,0.032911777,0.035903931,1,0.911585627,0.911585627,0,0.933333333,41
"Samples\AvailableSamples\S5\2_4\P[0.8, 1.0]_Q[0, 1].json",0.005983353,0.001994848,0.113696098,0.121674299,1,0.766421995,0.766421995,0,0.792191385,97
"Samples\AvailableSamples\S5\2_5\P[0.8, 1.0]_Q[0, 1].json",0.00515008,0.002992868,0.225396395,0.233539343,1,0.766421995,0.766421995,0,0.775524719,157
"Samples\AvailableSamples\S5\2_6\P[0.8, 1.0]_Q[0, 1].json",0.003989458,0.002992153,0.111700773,0.118682384,1,0.501252461,0.501252461,0.291590341,0.780425161,112
"Samples\AvailableSamples\S5\2_7\P[0.8, 1.0]_Q[0, 1].json",0.004084349,0.000997305,0.115691185,0.120772839,1,0.634777429,0.634777429,0,0.782913314,118
"Samples\AvailableSamples\S5\4_5\P[0.8, 1.0]_Q[0, 1].json",0.002991676,0.000997305,0.038896322,0.042885303,1,1,1,0.228174603,0.916666667,76
"Samples\AvailableSamples\S5\4_6\P[0.8, 1.0]_Q[0, 1].json",0.001993895,0.001995802,0.073801994,0.077791691,1,0.707193196,0.707193196,0.202821869,0.916666667,31
"Samples\AvailableSamples\S5\4_7\P[0.8, 1.0]_Q[0, 1].json",0.002991438,0,0.035904646,0.038896084,1,0.911585627,0.911585627,0,0.9,37
"Samples\AvailableSamples\S5\5_6\P[0.8, 1.0]_Q[0, 1].json",0.002992392,0,0.038895607,0.041887999,1,0.707193196,0.707193196,0,0.9,91
"Samples\AvailableSamples\S5\5_7\P[0.8, 1.0]_Q[0, 1].json",0.001994848,0.000997066,0.034907341,0.037899256,1,0.911585627,0.911585627,0,0.883333333,97
"Samples\AvailableSamples\S5\6_7\P[0.8, 1.0]_Q[0, 1].json",0.001994371,0.000997305,0.037898779,0.040890455,1,0.618778823,0.618778823,0,0.883333333,52
noiseRate,0,SamNum,10,min_support,0.3,gamma,0.3,avgRecall,0.762536563,
"Samples\AvailableSamples\S5\1_2\P[0.8, 1.0]_Q[0, 1].json",0.005986214,0.009972572,0.343080282,0.359039068,1,0.786994005,0.786994005,0,0.933333333,101
"Samples\AvailableSamples\S5\1_4\P[0.8, 1.0]_Q[0, 1].json",0.002991438,0,0.010971069,0.013962507,1,1,0.5,-0.214285714,0.533333333,20
"Samples\AvailableSamples\S5\1_5\P[0.8, 1.0]_Q[0, 1].json",0.000996351,0,0.009974003,0.010970354,1,1,0.5,-0.95,0.95,80
"Samples\AvailableSamples\S5\1_6\P[0.8, 1.0]_Q[0, 1].json",0.002992392,0.000996828,0.043882847,0.047872066,1,0.707193196,0.707193196,0,0.95,35
"Samples\AvailableSamples\S5\1_7\P[0.8, 1.0]_Q[0, 1].json",0.00199461,0.000996828,0.04288578,0.045877218,1,0.911585627,0.911585627,0,0.933333333,41
"Samples\AvailableSamples\S5\2_4\P[0.8, 1.0]_Q[0, 1].json",0.006981134,0.001994371,0.13065052,0.139626026,1,0.794059265,0.794059265,0,0.797091828,97
"Samples\AvailableSamples\S5\2_5\P[0.8, 1.0]_Q[0, 1].json",0.005983591,0.004986525,0.277258873,0.288228989,1,0.794059265,0.794059265,0,0.780425161,157
"Samples\AvailableSamples\S5\2_6\P[0.8, 1.0]_Q[0, 1].json",0.003988504,0.002991676,0.028923035,0.035903215,1,0.235463289,0.117731644,-0.29412142,0.443156982,112
