Scene,Sindex,Num,Noise_Rate,gamma,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,2,20,0.6,0.7,0.4,0.5116940974289121,0.9766118051421756,0.6174768638898526,0.11789019444306771
S2,2,20,0.6,0.75,0.4,0.5116940974289121,0.9766118051421756,0.6174768638898526,0.1766975148135299
S2,2,20,0.6,0.8,0.4,0.5116940974289121,0.9766118051421756,0.6174768638898526,0.22815392013768435
S2,2,20,0.6,0.9,0.4,0.5116940974289121,0.9766118051421756,0.6174768638898526,0.3139145956779416
S2,2,20,0.6,1.0,0.4,0.5116940974289121,0.9766118051421756,0.6174768638898526,0.38252313611014743
S2,2,20,0.8,0.2,0.2,0.09032160834851599,0.909678391651484,-0.5764005944115673,0.0
S2,2,20,0.8,0.3,0.2,0.09032160834851599,0.909678391651484,-0.5764005944115673,0.0
S2,2,20,0.8,0.4,0.2,0.09032160834851599,0.909678391651484,-0.5764005944115673,0.0
S2,2,20,0.8,0.5,0.2,0.09032160834851599,0.909678391651484,-0.5764005944115673,0.0
S2,2,20,0.8,0.6,0.26666666666666666,0.5116940974289121,0.9766118051421756,0.5194838901614237,0.04095662491471424
S2,2,20,0.8,0.65,0.26666666666666666,0.5116940974289121,0.9766118051421756,0.5194838901614237,0.061283476160560124
S2,2,20,0.8,0.7,0.23529411764705882,0.6744627316192748,0.9766118051421756,0.6744389404545104,0.01071421736252884
S2,2,20,0.8,0.75,0.26666666666666666,0.5116940974289121,0.9766118051421756,0.5194838901614237,0.0938064381539135
S2,2,20,0.8,0.8,0.26666666666666666,0.5116940974289121,0.9766118051421756,0.5194838901614237,0.10701889146371331
S2,2,20,0.8,0.9,0.26666666666666666,0.5116940974289121,0.9766118051421756,0.5194838901614237,0.1290396469800463
S2,2,20,0.8,1.0,0.26666666666666666,0.5116940974289121,0.9766118051421756,0.5194838901614237,0.14665625139311272
S2,3,20,0.0,0.2,1.0,0.0,1.0,-0.9966736491498343,0.9958420614372928
S2,3,20,0.0,0.3,1.0,0.0,1.0,-0.9966736491498343,0.9952480702140489
S2,3,20,0.0,0.4,1.0,0.0,1.0,-0.9966736491498343,0.9944560819163905
S2,3,20,0.0,0.5,1.0,0.0,1.0,-0.9966736491498343,0.9933472982996685
S2,3,20,0.0,0.6,1.0,0.0,1.0,-0.9966736491498343,0.9916841228745856
S2,3,20,0.0,0.65,1.0,0.0,1.0,-0.9966736491498343,0.9904961404280979
S2,3,20,0.0,0.7,1.0,0.0,1.0,-0.9966736491498343,0.9889121638327808
S2,3,20,0.0,0.75,1.0,0.0,1.0,-0.9966736491498343,0.986694596599337
S2,3,20,0.0,0.8,1.0,0.0,1.0,-0.9966736491498343,0.9833682457491713
