Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S5,2_3,20,0.8,0.25,0.66050288,0.509245681,0.637284404,0.086275423,,,
S5,2_4,20,0,0.95,0.054255751,0.945744249,0.26969697,0.607034632,,,
S5,2_4,20,0.2,0.833333333,0.369503834,0.945744249,0.591196276,0.1518071,,,
S5,2_4,20,0.4,0.75,0.841631826,0.158368174,0.450438596,0.335295083,,,
S5,2_4,20,0.6,0.571428571,0.898072696,0.101927304,0.47890625,0.280705762,,,
S5,2_4,20,0.8,0.363636364,0.877640267,0.122359733,0.651020408,0.064972928,,,
S5,2_5,20,0,0.95,0.17793002,0.82206998,0.222111222,0.674164526,,,
S5,2_5,20,0.2,0.764705882,0.17793002,0.82206998,0.176813811,0.687484016,,,
S5,2_5,20,0.4,0.857142857,0.691428628,0.462857058,0.614962121,0.114974683,,,
S5,2_5,20,0.6,0.5,0.711633372,0.432549942,0.56287037,0.191235198,,,
S5,2_5,20,0.8,0.2,0.605570429,0.394429571,0.277777778,0.586419753,,,
S5,3_4,20,0,0.95,0,1,0.187719298,0.727255639,,,
S5,3_4,20,0.2,1,0,1,0.175043761,0.704941235,,,
S5,3_4,20,0.4,0.785714286,0.192167606,0.807832394,0.273064215,0.573472187,,,
S5,3_4,20,0.6,0.4375,0.650094455,0.524858318,0.631936531,0.093857364,,,
S5,3_4,20,0.8,0.142857143,0.501275436,0.498724564,0.583333333,0.157986111,,,
S5,3_5,20,0,0.9,0.00661286,0.99338714,0.282430427,0.581614763,,,
S5,3_5,20,0.2,0.888888889,0.337741907,0.99338714,0.675051326,0.034304426,,,
S5,3_5,20,0.4,0.857142857,0.415782846,0.876325732,0.662051693,0.050027658,,,
S5,3_5,20,0.6,0.571428571,0.170652798,0.829347202,0.333170996,0.486375957,,,
S5,3_5,20,0.8,0.235294118,0.447101865,0.829347202,0.684535002,0.021632586,,,
S5,4_5,20,0,0.85,0.00661286,0.99338714,0.125729443,0.793040293,,,
S5,4_5,20,0.2,0.882352941,0.123674268,0.876325732,0.11987315,0.779027484,,,
S5,4_5,20,0.4,0.857142857,0.551837421,0.448162579,0.157894737,0.730067356,,,
S5,4_5,20,0.6,0.727272727,0.551837421,0.448162579,0.322530864,0.485623848,,,
S5,4_5,20,0.8,0.266666667,0.551837421,0.448162579,0.394557823,0.399983803,0.672698855,0.376267754,0.694068621
