mu,10,gamma,0.7,min_support,0.3,,,
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
jac,LIP,MLMSSM,avgConf,cc,,,,
jac,LIP,MLMSSM,avgConf,cc,,,,
0.412371134,0.58004121,0.839917581,0.176906589,0.452330776,,,,
0.4,0.511743949,0.976512101,0.094361167,0.551952193,,,,
0.4,0.674495966,0.976512101,0.076415724,0.583372843,,,,
0.4,0.674495966,0.976512101,0.020804261,0.658051562,,,,
0.43956044,0.58004121,0.839917581,0.375322316,0.174548757,,,,
0.434782609,0.58004121,0.839917581,0.269089927,0.323274103,,,,
0.476190476,0.58004121,0.839917581,0.406938596,0.130285966,,,,
0.4,0.511743949,0.976512101,0.100884678,0.54171714,,,,
0.4,0.674495966,0.976512101,0.107160016,0.535951456,,,,
0.434782609,0.58004121,0.839917581,0.271829474,0.319438737,,,,
0.4,0.023487899,0.976512101,0.020785135,-0.715495505,,,,
0.4,0.023487899,0.976512101,0.040705594,-0.730346386,,,,
0.4,0.023487899,0.976512101,0.03538522,-0.726379999,,,,
0.434782609,0.58004121,0.839917581,0.273155888,0.317581757,,,,
0.476190476,0.58004121,0.839917581,0.400281052,0.139606527,,,,
0.4,0.674495966,0.976512101,0.088413277,0.565061945,,,,
0.434782609,0.58004121,0.839917581,0.275666116,0.314067437,,,,
S2,1,100,0.6,0.476190476,0.58004121,0.839917581,0.130285966,0.406938596
jac,LIP,MLMSSM,avgConf,cc,,,,
0.2,0.511743949,0.976512101,0.087224692,0.559616204,,,,
