Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,inertia,silhouette,calinski_harabasz
S4,1_5,20,0.6,0.4,0.19950313408693598,0.800496865913064,0.43472793592189796,0.18948004577007288,0.17382957975056335,0.7093285133193887,84.86005991369825
S4,1_5,20,0.8,0.2222222222222222,0.13120587382429671,0.8687941261757033,0.3307761700289136,0.31750632428482595,0.12238015643083769,0.7894743882530424,127.73493221478729
S4,2_3,20,0.0,0.85,0.15160653001563418,0.8483934699843658,0.0007191730578935585,0.36793706203629784,0.01408514337145527,0.949559443243321,1233.0869155874943
S4,2_3,20,0.2,1.0,0.0,1.0,0.1297703085470003,0.7755288372214317,0.08259696279023947,0.8309697880549674,197.91406517032456
S4,2_3,20,0.4,0.75,0.011694097428912142,0.9883059025710879,0.1258263019522035,0.7616589872062607,0.095895493916419,0.8397030691268812,169.69852567534542
S4,2_3,20,0.6,0.5714285714285714,0.4188379159315423,0.5811620840684577,0.4833403548005959,0.1705968061163694,0.21188677848031895,0.6880879279227977,66.80945385417286
S4,2_3,20,0.8,0.2222222222222222,0.4188379159315423,0.5811620840684577,0.3751847816282795,0.2787031630478484,0.12041141152568319,0.7879860388919642,131.30774600488158
S4,2_4,20,0.0,0.95,0.0,1.0,0.6056920712653364,0.12685932411631867,0.19505421171203535,0.6846786293035445,73.95146875759927
S4,2_4,20,0.2,0.8125,0.0,1.0,0.578607547934453,0.15811719524962248,0.1400914984497673,0.7303557242111288,110.35871615538505
S4,2_4,20,0.4,0.6,0.09032160834851599,0.454839195825742,-0.7791886445393776,0.0,1.0,-1.0,0.0
S4,2_4,20,0.6,0.5,0.029343508510579874,0.9706564914894201,0.5904054811662822,0.12137975713435228,0.1387441482350234,0.7277382402412653,106.75266953383576
S4,2_4,20,0.8,0.2222222222222222,0.07864091009884722,0.9213590899011528,0.6208736807257156,0.10789952628311505,0.21549069783674604,0.6347340051970377,64.83496926322864
S4,2_5,20,0.0,0.7,0.0,0.5,-0.8412539464637814,0.37786167354254147,1.0,-1.0,0.0
S4,2_5,20,0.2,0.631578947368421,0.011694097428912142,0.9883059025710879,0.6443815778967376,0.07014061175849395,0.10100713971918072,0.7912187886431977,146.80725389669
S4,2_5,20,0.4,0.6666666666666666,0.13115602183520247,0.8688439781647975,0.487769325643966,0.18812443194308115,0.2058050024089842,0.640534606022612,63.620996905851996
S4,2_5,20,0.6,0.3684210526315789,0.4207706812234683,0.8688439781647975,0.6208005599617504,0.05445341664758391,0.3145925454145442,0.6523219624203292,44.1504396277915
S4,2_5,20,0.8,0.2,0.13115602183520247,0.8688439781647975,0.4133130811905491,0.11896574062338819,0.18475817862131647,0.6790858844398441,70.4752327398624
S4,3_4,20,0.0,1.0,0.0,1.0,0.20414201183431951,0.7083685545224007,0.019145349305555743,0.9449536755954862,906.8067195115617
